EX,Tarifna oznaka,Naziv,Dopunska jedinica,Carinska stopa (%),EU,CEFTA,IRN,TUR,"CHE, LIE",ISL,NOR
ex,0105 99 50 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> biserke >>> za priplod",kd,0,0,0,0,0,0,0,0
,0106,Ostale žive životinje,,,,,,,,,
,,Ostale žive životinje >>> sisari,,,,,,,,,
,0106 11 00 00,Ostale žive životinje >>> sisari >>> primati,kd,0,0,0,0,0,0,0,0
,0106 12 00 00,"Ostale žive životinje >>> sisari >>> kitovi, delfini i pliskavice",kd,0,0,0,0,0,0,0,0
,0106 13 00 00,Ostale žive životinje >>> sisari >>> kamile i ostale vrste,kd,0,0,0,0,0,0,0,0
,0106 14,Ostale žive životinje >>> sisari >>> kunići i zečevi,,,,,,,,,
,0106 14 10 00,Ostale žive životinje >>> sisari >>> kunići i zečevi >>> domaći kunići,kd,0,0,0,0,0,0,0,0
,0106 14 90 00,Ostale žive životinje >>> sisari >>> kunići i zečevi >>> ostali,–,0,0,0,0,0,0,0,0
,0106 19 00 00,Ostale žive životinje >>> sisari >>> ostali,–,0,0,0,0,0,0,0,0
,0106 20 00 00,Ostale žive životinje >>> gmizavci,kd,0,0,0,0,0,0,0,0
,,Ostale žive životinje >>> ptice,,,,,,,,,
,0106 31 00 00,Ostale žive životinje >>> ptice >>> ptice grabljivice,kd,0,0,0,0,0,0,0,0
,0106 32 00 00,Ostale žive životinje >>> ptice >>> ptice grabljivice >>> psitakovrste,kd,0,0,0,0,0,0,0,0
,0106 33 00 00,Ostale žive životinje >>> ptice >>> nojevi; emui,kd,0,0,0,0,0,0,0,0
,0106 39,Ostale žive životinje >>> ptice >>> ostale,,,,,,,,,
,0106 39 10 00,Ostale žive životinje >>> ptice >>> ostale >>> golubovi,kd,0,0,0,0,0,0,0,0
,0106 39 80 00,Ostale žive životinje >>> ptice >>> ostale >>> ostale,–,0,0,0,0,0,0,0,0
,,Ostale žive životinje >>> insekti,,,,,,,,,
,0106 41 00 00,Ostale žive životinje >>> insekti >>> pčele,–,0,0,0,0,0,0,0,0
,0106 49 00 00,Ostale žive životinje >>> insekti >>> ostali,–,0,0,0,0,0,0,0,0
,0106 90 00 00,Ostale žive životinje >>> ostale,–,0,0,0,0,0,0,0,0
,0201,"Goveđe meso, svježe ili rashlađeno",,,,,,,,,
,0201 10 00 00,"Goveđe meso, svježe ili rashlađeno >>> trupovi i polovine",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
ex,0201 10 00 10,"Goveđe meso, svježe ili rashlađeno >>> trupovi i polovine >>> teleći",–,"10+2,4KM/kg",0,0,"10+2,4KM/kg",0,"10+2,4KM/kg","10+2,4KM/kg","10+2,4KM/kg"
,0201 20,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima",,,,,,,,,
,0201 20 20 00,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> kompenzirane četvrtine",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
ex,0201 20 20 10,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> kompenzirane četvrtine >>> teleće",–,"10+2,4KM/kg",0,0,"10+2,4KM/kg",0,"9+2,16KM/kg","10+2,4KM/kg","10+2,4KM/kg"
,0201 20 30 00,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane prednje četvrtine",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
ex,0201 20 30 10,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane prednje četvrtine >>> teleće",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
,0201 20 50 00,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane stražnje četvrtine",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
ex,0201 20 50 10,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane stražnje četvrtine >>> teleće",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"9+2,25KM/kg","10+2,5KM/kg","10+2,5KM/kg"
,0201 20 90 00,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> ostali",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
ex,0201 20 90 10,"Goveđe meso, svježe ili rashlađeno >>> ostali komadi sa kostima >>> ostali >>> teleći",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
,0201 30 00 00,"Goveđe meso, svježe ili rashlađeno >>> bez kostiju",–,"10+2,4KM/kg",0,0,"10+2,4KM/kg",0,"10+2,4KM/kg","10+2,4KM/kg","10+2,4KM/kg"
ex,0201 30 00 10,"Goveđe meso, svježe ili rashlađeno >>> bez kostiju >>> teleći",–,"10+2,5KM/kg",0,0,"10+2,5KM/kg",0,"10+2,5KM/kg","10+2,5KM/kg","10+2,5KM/kg"
,0202,"Goveđe meso, smrznuto",,,,,,,,,
,0202 10 00 00,"Goveđe meso, smrznuto >>> trupovi i polovine",–,"10+1,8KM/kg",0,0,"10+1,8KM/kg",0,"9+1,62KM/kg","10+1,8KM/kg","10+1,8KM/kg"
ex,0202 10 00 10,"Goveđe meso, smrznuto >>> trupovi i polovine >>> teleći",–,"10+1,8KM/kg",0,0,"10+1,8KM/kg",0,"10+1,8KM/kg","10+1,8KM/kg","10+1,8KM/kg"
ex,0202 10 00 20,"Goveđe meso, smrznuto >>> trupovi i polovine >>> juneći",–,"10+1,8KM/kg",0,0,"10+1,8KM/kg",0,"9+1,62KM/kg","10+1,8KM/kg","10+1,8KM/kg"
,0202 20,"Goveđe meso, smrznuto >>> ostali komadi sa kostima",,,,,,,,,
,0202 20 10 00,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> kompenzirane četvrtine",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"9+1,35KM/kg","10+1,5KM/kg","10+1,5KM/kg"
ex,0202 20 10 10,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> kompenzirane četvrtine >>> teleće",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"10+1,5KM/kg","10+1,5KM/kg","10+1,5KM/kg"
ex,0202 20 10 20,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> kompenzirane četvrtine >>> juneće",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"10+1,5KM/kg","10+1,5KM/kg","10+1,5KM/kg"
,0202 20 30 00,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane prednje četvrtine",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"9+1,35KM/kg","10+1,5KM/kg","10+1,5KM/kg"
ex,0202 20 30 10,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane prednje četvrtine >>> teleće",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"9+1,35KM/kg","10+1,5KM/kg","10+1,5KM/kg"
ex,0202 20 30 20,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane prednje četvrtine >>> juneće",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"9+1,35KM/kg","10+1,5KM/kg","10+1,5KM/kg"
,0202 20 50 00,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane stražnje četvrtine",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"9+1,35KM/kg","10+1,5KM/kg","10+1,5KM/kg"
ex,0202 20 50 10,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane stražnje četvrtine >>> teleće",–,10+2KM/kg,0,0,10+2KM/kg,0,"9+1,8KM/kg",10+2KM/kg,10+2KM/kg
ex,0202 20 50 20,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> neraskomadane ili raskomadane stražnje četvrtine >>> juneće",–,10+2KM/kg,0,0,10+2KM/kg,0,"9+1,8KM/kg",10+2KM/kg,10+2KM/kg
,0202 20 90 00,"Goveđe meso, smrznuto >>> ostali komadi sa kostima >>> ostali",–,"10+1,5KM/kg",0,0,"10+1,5KM/kg",0,"10+1,5KM/kg","10+1,5KM/kg","10+1,5KM/kg"
